Income,County
143600,Forsyth
88700,Gwinnett
115700,Forsyth
169500,Forsyth
82300,Gwinnett
138200,Forsyth
104100,Gwinnett
137400,Forsyth
174700,Forsyth
87400,Gwinnett
193400,Forsyth
71200,Gwinnett
101300,Gwinnett
113200,Gwinnett
113200,Gwinnett
163500,Forsyth
140200,Forsyth
130300,Forsyth
80700,Gwinnett
165900,Forsyth
76400,Gwinnett
107700,Gwinnett
89000,Gwinnett
115100,Forsyth
149800,Forsyth
201400,Forsyth
139100,Forsyth
102400,Gwinnett
131600,Forsyth
91700,Gwinnett
111900,Gwinnett
114200,Forsyth
115600,Gwinnett
66400,Gwinnett
157800,Forsyth
199900,Forsyth
94100,Gwinnett
118400,Forsyth
126900,Forsyth
75000,Gwinnett
83400,Gwinnett
145300,Forsyth
139300,Forsyth
167000,Forsyth
93500,Gwinnett
94800,Gwinnett
167300,Forsyth
85600,Gwinnett
142300,Forsyth
153100,Forsyth
165200,Forsyth
120400,Forsyth
114000,Forsyth
117000,Forsyth
153500,Forsyth
82900,Gwinnett
74400,Gwinnett
127700,Forsyth
84300,Gwinnett
118600,Forsyth
196700,Forsyth
133700,Forsyth
131900,Forsyth
130000,Forsyth
74200,Gwinnett
89000,Gwinnett
119200,Gwinnett
128700,Gwinnett
123000,Forsyth
82100,Gwinnett
94100,Gwinnett
140400,Forsyth
178700,Forsyth
121100,Forsyth
131300,Forsyth
156700,Forsyth
90000,Gwinnett
100000,Gwinnett
84400,Gwinnett
110400,Gwinnett
122100,Gwinnett
89100,Gwinnett
103800,Gwinnett
171700,Forsyth
114200,Forsyth
85000,Gwinnett
172800,Forsyth
80400,Gwinnett
100100,Gwinnett
120500,Gwinnett
164700,Forsyth
84400,Gwinnett
112700,Gwinnett
123900,Forsyth
86600,Gwinnett
102200,Gwinnett
108200,Gwinnett
82700,Gwinnett
90900,Gwinnett
142600,Forsyth
