Amount Spent ($),Wait Time (Minutes)
16.38,5
16.16,6
14.15,4.9
6.89,5.2
5.89,1.9
8.35,6
3.24,2.4
5.41,2
4.98,2
11.32,5.6
4.1,2.4
3.14,2.5
18.29,5.5
4.34,2.2
5.53,2.1
8.17,6.2
3.2,2.1
2.7,2.3
4.64,2.2
13.13,4.4
15.2,5.1
17.81,4.5
3.52,2.1
5.06,2.2
4.57,2.6
19.88,7.2
4.6,2.6
11.37,5.9
2.66,2.6
3.14,2.4
18.45,8.5
11.54,7.3
2.99,2.6
20.25,4.9
8.3,4.8
3.05,2.2
3.78,1.9
7.49,6.4
14.38,5.4
2.57,2.4
4.6,2.2
17.56,5.9
3.05,2.9
14.6,5
5.25,2.2
13.82,3.7
6.99,9.7
4.01,2
3.81,2
12.06,4.4
7.65,4.7
11.63,4.7
3.52,2.4
4.3,2.5
20.57,3.3
5.83,2.4
10.36,5.4
3.56,2.3
16.36,5.8
18.45,3.7
