Player,3P,2P,PTS,Salary
Aaron Gordon,1.2,4.1,14.2,19863636
Aaron Holiday,1.5,2.2,9.9,2239200
Abdel Nader,0.7,1.3,5.7,1618520
Admiral Schofield,0.5,0.6,3.2,898310
Al Horford,1.4,3.4,12.0,28000000
Al-Farouq Aminu,0.5,0.9,4.3,9258000
Alec Burks,1.7,3.3,15.8,2320044
Alec Burks,1.8,3.3,16.1,2320044
Alec Burks,0.0,1.0,2.0,2320044
Alen Smailagić,0.3,1.3,4.7,898310
Alex Caruso,0.7,1.2,5.5,2750000
Alex Len,0.4,3.2,8.7,4160000
Alfonzo McKinnie,0.3,1.4,4.3,1361046
Alfonzo McKinnie,0.3,1.4,4.3,708871
Alfonzo McKinnie,0.3,1.4,4.3,183114
Alize Johnson,0.0,0.6,1.6,1416852
Allen Crabbe,1.0,0.8,4.8,18500000
Allen Crabbe,1.1,0.8,5.1,18500000
Allen Crabbe,0.8,0.6,3.6,18500000
Allonzo Trier,0.8,1.1,6.0,3551100
Amile Jefferson,0.0,0.3,0.8,1445697
Andre Drummond,0.1,7.3,17.7,27093019
Andre Drummond,0.0,7.3,17.8,27093019
Andre Drummond,1.0,5.5,16.5,27093019
Andre Iguodala,1.0,0.7,4.3,17185185
Andrew Wiggins,2.2,6.1,22.5,27270000
Andrew Wiggins,2.2,6.2,22.4,27270000
Andrew Wiggins,2.7,5.0,23.0,27270000
Anfernee Simons,1.2,2.2,9.1,2149560
Ante Žižić,0.0,1.8,4.3,2281800
Anthony Davis,1.1,8.2,26.6,27093019
Anthony Tolliver,0.8,0.3,3.3,2564753
Anthony Tolliver,0.9,0.4,3.9,2564753
Anthony Tolliver,0.2,0.1,1.0,2564753
Anžejs Pasečņiks,0.0,2.7,7.0,482144
Aron Baynes,1.3,3.2,11.5,5453280
Austin Rivers,1.3,1.7,8.5,2174318
Avery Bradley,1.1,2.4,8.5,4767000
Avery Bradley,1.1,2.4,8.5,2000000
Bam Adebayo,0.0,6.2,15.8,3454080
Ben McLemore,2.5,0.9,10.2,2028594
Ben Simmons,0.0,6.7,16.9,8113930
Bismack Biyombo,0.0,2.9,7.5,17000000
Blake Griffin,1.5,3.4,15.5,34234964
Boban Marjanović,0.1,2.3,5.8,3500000
Bobby Portis,1.0,2.7,9.4,15000000
Bogdan Bogdanović,2.6,2.6,14.4,8529386
Bojan Bogdanović,3.2,3.7,21.0,17000000
Brad Wanamaker,0.5,1.7,6.6,1445697
Bradley Beal,2.5,7.4,29.1,27093019
Brandon Clarke,0.4,4.7,12.3,2478840
Brandon Goodwin,0.9,1.5,6.7,522738
Brandon Ingram,2.5,6.0,24.9,7265485
Brandon Knight,1.2,0.5,4.8,15643750
Brandon Knight,1.2,0.6,4.9,15643750
Brandon Knight,1.0,0.0,3.0,15643750
Brook Lopez,1.4,2.5,10.6,12093024
Bruce Brown,0.6,2.8,8.7,1416852
Bruno Caboclo,0.2,1.1,2.8,1845301
Bruno Fernando,0.1,1.6,4.0,1400000
Bryn Forbes,2.3,1.5,11.1,2875000
Buddy Hield,3.8,3.6,20.4,4861208
C.J. Miles,1.1,0.8,6.4,8730158
CJ McCollum,2.7,5.8,21.3,27556959
Caleb Martin,0.3,0.8,2.8,898310
Caleb Swanigan,0.0,1.0,2.2,2033160
Caleb Swanigan,0.0,0.3,0.7,2033160
Caleb Swanigan,0.0,1.5,3.2,2033160
Cam Reddish,1.3,1.9,9.3,4245720
Cameron Johnson,1.7,0.9,7.7,4033440
Caris LeVert,1.5,4.2,15.3,2625718
Carmelo Anthony,1.4,4.4,15.1,2159029
Carsen Edwards,0.6,0.4,2.9,1200000
Cedi Osman,1.8,2.2,10.8,2907143
Chandler Hutchison,0.4,2.4,7.8,2332320
Chandler Parsons,0.8,0.2,2.8,25102511
Cheick Diallo,0.0,2.1,5.1,1678854
Chimezie Metu,0.0,1.1,2.5,1416852
Chris Boucher,0.5,1.7,6.3,1588231
Chris Clemons,1.2,0.6,5.0,568422
Chris Paul,1.6,4.5,17.4,38506482
Chris Silva,0.0,1.1,3.1,466918
Christian Wood,0.8,3.2,11.2,1645357
Clint Capela,0.0,6.3,13.9,16456522
Coby White,1.8,2.3,11.1,5307120
Cody Martin,0.4,1.3,4.5,1173310
Cody Zeller,0.3,4.0,11.0,14471910
Collin Sexton,1.3,6.3,19.8,4764960
Cory Joseph,0.7,1.7,6.4,12000000
Courtney Lee,0.9,0.6,4.1,12759670
Cristiano Felício,0.0,1.6,4.1,8156500
D'Angelo Russell,3.7,4.6,23.6,27285000
D'Angelo Russell,3.6,4.6,23.6,27285000
D'Angelo Russell,4.0,4.0,24.0,27285000
D.J. Augustin,1.2,2.1,10.7,7250000
D.J. Wilson,0.4,0.8,3.1,2961120
Damian Jones,0.0,2.3,5.9,2305057
Damian Lillard,3.9,5.5,29.5,29802321
Damion Lee,1.5,2.6,12.0,842327
Damyean Dotson,1.2,1.3,6.7,1618520
Daniel Gafford,0.0,2.0,4.7,898310
Daniel Theis,0.4,3.0,8.3,5000000
Danilo Gallinari,3.0,3.0,19.3,22615559
Danny Green,1.9,1.2,8.6,14634146
Dante Exum,0.3,1.2,4.2,9600000
Dante Exum,0.2,0.7,2.2,9600000
Dante Exum,0.4,1.4,5.3,9600000
Danuel House,2.1,1.5,10.6,3540000
Dario Šarić,1.2,2.4,9.6,3481986
Darius Bazley,0.6,1.1,4.5,2284800
Darius Garland,1.8,2.8,12.2,6400920
David Nwaba,0.6,1.3,5.2,1678854
De'Aaron Fox,1.0,6.1,19.7,6392760
De'Andre Hunter,1.6,2.8,12.2,7068360
De'Anthony Melton,0.5,2.4,8.0,1416852
DeAndre Jordan,0.0,3.3,8.1,9881598
DeAndre' Bembry,0.3,2.1,5.8,2603982
DeMar DeRozan,0.2,8.4,23.0,27739975
DeMarre Carroll,0.2,0.4,2.2,7000000
Deandre Ayton,0.0,8.4,18.7,9562920
Dejounte Murray,0.6,3.7,10.4,2321735
Delon Wright,0.6,2.1,7.3,9473684
Dennis Schröder,2.0,5.2,19.3,15500000
Dennis Smith,0.5,1.5,5.2,4463640
Denzel Valentine,1.2,1.0,5.8,3377569
Deonte Burton,0.2,0.9,2.7,1416852
Derrick Favors,0.0,4.3,9.5,17650000
Derrick Jones,0.7,2.4,8.7,1645357
Derrick Rose,0.9,6.5,18.2,7317073
Derrick Walton,0.4,0.3,2.2,1445697
Derrick White,0.9,2.6,10.2,1948080
Devin Booker,1.9,7.0,26.4,27250000
Devonte' Graham,3.5,2.3,18.1,1416852
Dewan Hernandez,0.0,0.3,1.0,898310
Dewayne Dedmon,0.5,1.7,5.6,13333334
Dewayne Dedmon,0.4,1.6,5.1,13333334
Dewayne Dedmon,1.3,2.7,10.3,13333334
Dillon Brooks,2.1,3.6,15.7,1618520
Dion Waiters,2.7,0.7,9.3,12100000
Domantas Sabonis,0.3,7.0,18.3,3529555
Donovan Mitchell,2.4,6.6,24.3,3635760
Donte DiVincenzo,1.3,2.2,9.2,2905800
Dorian Finney-Smith,1.6,1.7,9.4,4000000
Doug McDermott,1.9,2.0,10.4,7333334
Dragan Bender,0.6,0.9,3.7,1678854
Draymond Green,0.9,2.0,8.3,18539130
Duncan Robinson,3.5,0.6,12.6,1416852
Dwayne Bacon,0.5,1.7,5.7,1618520
Dwight Howard,0.1,3.1,7.8,3039097
Dwight Howard,0.1,3.1,7.8,2564753
Dwight Powell,0.3,3.4,9.4,10259375
Dāvis Bertāns,3.5,1.3,15.0,7000000
Džanan Musa,0.4,1.0,4.2,1911600
E'Twaun Moore,1.3,2.5,9.5,8664928
Ed Davis,0.0,0.6,1.3,4767000
Edmond Sumner,0.4,1.4,4.3,2000000
Elfrid Payton,0.4,3.9,9.7,8000000
Elie Okobo,0.5,0.9,4.2,1416852
Emmanuel Mudiay,0.6,2.3,7.3,1737145
Enes Kanter,0.0,3.9,9.2,4767000
Eric Bledsoe,1.2,4.5,15.7,15625000
Eric Gordon,2.9,2.1,15.3,14057730
Eric Mika,0.0,2.0,6.0,50752
Eric Paschall,0.6,4.5,13.2,898310
Ersan İlyasova,0.9,1.8,7.4,7000000
Evan Fournier,2.7,3.9,18.7,17000000
Evan Turner,0.0,1.3,3.3,18606557
Frank Jackson,0.8,1.3,5.9,1618520
Frank Kaminsky,1.2,2.8,11.0,4767000
Frank Ntilikina,0.7,1.4,5.8,4855800
Fred VanVleet,2.8,3.3,18.0,9000000
Furkan Korkmaz,1.9,1.5,9.6,1620564
Garrett Temple,2.0,1.5,10.2,4767000
Gary Clark,0.9,0.3,3.6,708426
Gary Clark,0.9,0.3,3.6,555409
Gary Clark,0.9,0.3,3.6,163356
Gary Clark,1.0,0.3,3.9,708426
Gary Clark,1.0,0.3,3.9,555409
Gary Clark,1.0,0.3,3.9,163356
Gary Clark,0.8,0.3,3.1,708426
Gary Clark,0.8,0.3,3.1,555409
Gary Clark,0.8,0.3,3.1,163356
